"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date"
"1","US",14794074,"R36QMOW5BU4UPL","B00092M38G",981727854,"andis 80345 styler hair dryer","Beauty",4,0,0,"N","Y","Best Hair Dryer - It did the trick!","This dryer has a lot of power. It blew my hair extremely straight! I like the older model, but this newer version is just as good. This product is lighter and easier to handle. My only issue is - the shipping was slow.",2012-05-30
"2","US",13257481,"R29ZBWI2ETMZCE","B0009XH6TG",47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)","Beauty",5,0,0,"N","Y","LOVE IT!!!","Every day I used to dread blow drying my hair. It's long and thick and after a half an hour it still wouldn't be dry. This hair dryer gets my hair completely dry in 3-4 minutes max. It has totally changed my life. I have bought one more just to have on hand. You never know how long a hair dryer will last.",2012-05-29
"3","US",23147699,"R1MSPROAVTFVKD","B000BBS636",560455235,"conair yb075w pro yellowbird 1875-watt professional hair dryer","Beauty",3,1,1,"N","Y","Yellowbird","I purchased this product because quite a few of the Youtube vloggers I follow use/recommended it. I liked that it dried my hair well and that it had 4 different settings from cool to hot, but I found that if you hold it by the nozzle end like I do, it heats up ALOT! I used it primarily on the warm setting applying the tension method to my (4b/4c) hair and it was fine. I accidentally had it on the hot setting initially and that was too much heat for my hair. There's not much that's special about this dryer, but overall, it's a powerful, not too pricey option if you are looking for a professional style hairdryer.",2012-05-29
"4","US",50497592,"R11DDI5O18FOB","B0009XH6TG",47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)","Beauty",5,1,1,"N","Y","Buying Second Dryer for Reserve","Bought this hair dryer over a year ago and my husband and I have used it<br />everyday since with no problems.  It is easy to fold when we travel and<br />love the fact that the cord retracts.  I decided to go ahead and order a<br />second one to have on hand when this one goes out because with my luck<br />it wouldn't be available then, and I really like it.",2012-05-29
"5","US",28803283,"R2TCPUPTAWX4Y7","B001LQY1X4",748065701,"conair 1875 watt mid-size hair dryer","Beauty",5,1,2,"N","Y","Conair Blow Dryer","I had been looking to purchase a blow dryer for our spare bathroom and trailer when I found this one I was so happy it has exceded all my expectations. It was such a good deal. I am very pleaswed with the product and how fast it arrived.",2012-05-28
"6","US",18421643,"R12IYX5YMI8O4E","B0037MFCHE",423960,"infiniti by conair i series folding handle hair dryer","Beauty",5,0,0,"N","Y","Conair hir dryer review","This hair dryer is a very powerful unit that exceeds all my expectations. I am so glad I got this unit from Conair. The dryer arrived before the specified date and I use it all the time to dry my hair.",2012-05-28
"7","US",17704854,"RLTCXUS4XC15","B000K7JLGM",199558933,"t3 bespoke labs 83808-se featherweight professional ionic ceramic tourmaline hair dryer","Beauty",1,0,0,"N","Y","Faulty Plug -  Seller didn't back their product","I'm one of those people who reads most reviews before purchasing a product on Amazon. I understand that it seems like most of the time there is that one or two people who speak poorly about a product that the masses rave about.  It's just a blow dryer, about $80 at that, but still just a blow dryer. This product could be a good hair dryer, but the plug does not work subsequently neither does the dryer.Why I'm leaving this review is to expose the lack of commitment the seller has towards their product and customer. The seller would not respond to my emails about this broken down product in under four months. For the first 3 months the dryer worked well. Then the dryer at times would work and not work. Finally the dryer would not turn on. I cut the plug off and tested the power to the dryer without the plug. The plug is bad and so is the dryer with this plug.",2012-05-23
"8","US",17175940,"R2SJOF3LDI2PJS","B000V3URNG",843035023,"elevate by andis 80405 professional lightweight tourmaline ceramic ionic 1875 watts hair dryer","Beauty",5,0,0,"N","N","worth every penny","It was the best purchase I made in a while . It straightened out my very coaurse hair . I love how hot it gets . I don't even have to apply a flat iron to my hair no more .",2012-05-22
"9","US",26532161,"R1OKRFKXP6R2OT","B0012DL8B4",897437023,"conair vagabond folding handle 1875 watt compact hair dryer 1 ea","Beauty",5,0,0,"N","Y","Hairdryer Cruising","Great folding hair dryer for a great price.  I needed a hair dryer to take on the Fantasy carnival cruise.  The Glory had a hair dryer in the drawer but unfortunately the Fantasy did not.  It is going on another cruise this Fall on the same Fantasy.",2012-05-22
"10","US",49017950,"R2BC5K6RQ1D7LZ","B0050QLDGY",635386699,"remington d3710 ceramic fast finish dual fan turbo hair dryer, 1875 watts","Beauty",5,0,0,"Y","N","Works as advertised","It's nice to find a home appliance that actually works as advertised. This Remington dryer does that and more.<br /><br />It's very well made. It's easy to operate. And it dries hair very fast. We've had this for a couple of months and it's held up quite well with almost daily use from someone in the household. Good value for the price, too!",2012-05-22
