"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date"
"1","US",18410797,"R17S69KWQIU0LU","B000W3JHHM",943347999,"pem31smss ge profile spacemaker countertop microwave oven stainless steel","Major Appliances",3,1,1,"N","Y","Not the specified dimensions","This Spacemaker microwave is 3/4&#34; deeper than in the specifications. This is the difference between fitting and not fitting in a 12&#34; deep cabinet.",2013-04-30
"2","US",22752384,"R1QC59ZIODDVKT","B004NXUJ60",523301568,"microwave cavity paint 98qbp0302","Major Appliances",5,54,55,"N","Y","works great - easy to use.","I had a rust spot inside my microwave oven.  Sanded it down, put on two coats of paint, fixed the problem and the rust hasn't come back.",2013-04-29
"3","US",43035977,"R3F5HV0O5VW4T5","B005GSZB9Q",771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white","Major Appliances",5,1,1,"N","Y","excellent","I like this microwave, it is small and uses very little space in my small kitchen, but it is powerful. It is a good combination of quality and good design. Expensive but worth it",2013-04-27
"4","US",24598889,"R2V0LJP444IDKV","B0019C87BW",486381187,"lg  over the range microwaves","Major Appliances",1,1,1,"N","N","Broken on first use. Repaired and broken again w/in a year","I bought this LG microwave (LMV1680ST) as part of a full kitchen remodel a year ago. Upon first use, the microwave sparked and then made an unusually loud humming when on. Nothing heated. It broke on the first use. Home Depot, of course, said LG had to come out to deal with it. Since it was installed and not something I could easily take back to the store, I had to contact LG and schedule first a service consultation and THEN a service. What a pain. Now, less than a year later, the microwave is broken again. Since I bought it a few months before installation it's now out of warranty and LG wants to charge me $150 just to come out and inspect it. Don't buy it!! I threw away $200 on it and will just have to replace aNd pay for ANOTHER installation.",2013-04-25
"5","US",10343964,"R32U91EJEO052Q","B0058CLNBU",544821753,"samsung smh1816s 1.8 cu. ft. stainless steel over-the-range microwave","Major Appliances",1,1,1,"N","N","16 Months Sparked, Smoked, Died","We never had the SE error but at 16 months the microwave, sparked, growled, then smoked like crazy out of the top.  It is now DOA and out of warranty.",2013-04-22
"6","US",36253087,"R1YH3TSRTTJRE1","B005JA0AII",155528792,"ge cvm1790ssss cafe 1.7 cu. ft. stainless steel over-the-range microwave - convection","Major Appliances",3,3,6,"N","N","Cheap Handle","I recently had a house built and the builder only uses GE appliances so I upgraded to the Cafe line.  I have no complaints with the function of the microwave but the cheap plastic handle bothers me. Mine is now bubbling and peeling. I have a work order in with GE to have this replaced.  I saw the earlier model, which this microwave replaced had complaints of the handle getting too hot.  I guess this is why they went to plastic.  I would rather use a towel,to open my microwave than have stainless paint flaking into my pots below.",2013-04-21
"7","US",37108504,"R144OWZGOF24GD","B002X7669C",981162112,"ge jes0736spss 0.7 cu. ft. countertop microwave oven with 700 watts - stainless steel","Major Appliances",3,2,4,"N","N","IT IS AN OK MICROWAVE FOR MY TINY KITCHEN!","This is an okay microwave if you have an extremely small kitchen.<br />CONS:<br />The outside of the microwave is nice and sleek; however, I know the door push button opener won't last because it already has to be pushed several times to get the microwave's door to open. The next issue I have is the cardboard piece that is screwed on the inside of the unit. (I really think this is a hazard, not a good idea, and not hygienic if food splatters on it. Next cons were how cheap the turntable holder is and how much extra time it takes to microwave foods. (Frozen Stauffers TV dinner took 9 minutes to cook!) Likewise, if you like to cook microwave popcorn I suggest you use the mini bags with this one...larger bags had too many kernels left or burned if I tried to get most of the kernels cooked.<br /><br />PROS:<br />Very quiet when operating.<br />Perfect size for my 6x8 sq ft galley  style kitchen.<br />Very sleek and the stainless steel accents are beautiful.<br />Has an interior light.<br />Loud alarm to warn you when cooking is complete.<br />It's quite heavy even though it is a compact size. So it won't fly across the counter if you press a button too hard.<br />Lots of preset functions and an easy to understand owner's manual.<br /><br />I thought GE was a great appliance maker...remembering my mother's GE appliances lasting 20+ years! This one I pray it last for the rest of this year! Also, this microwave is a lot cheaper on Wal-mart website $60 with free in-store shipping. Just a heads up if you still want to purchase one of these microwaves!",2013-04-21
"8","US",12508551,"R1AVCWG0R65CS3","B0049OXU1O",618770050,"ge profile pvm1790 stainless steel over-the-range microwave oven","Major Appliances",2,1,2,"N","N","Not a good product","Have had numerous problems with this microwave since purchasing 3 years ago.  Makes horrible grinding noises periodically that last for a couple days then they go away for some unknown reason. Light bulb burns out quickly and location is so difficult to reach that I just gave up replacing it.  Convection bake and roast don't do as well as using a plain old convection toaster oven which is a whole lot less expensive. Can't defrost more than one minute without starting over.  It's quite expensive considering none of the special features work very well.",2013-04-20
"9","US",35180594,"R35KYEAK52C86D","B0011YFKMC",760984384,"spacemaker jvm1540dmww over-the-range microwave oven with recirculating vent in white","Major Appliances",3,8,8,"N","N","Don't even think about it","I've had this microwave for 2 weeks.  It works, for now.  But the interior light is already flickering while in use.  It's brand new and something is already wrong with it.  GE does not make quality microwaves and they do not stand by their products.  Betting it will only be a matter of time before it winds up in a landfill and I have buy new one.",2013-04-20
"10","US",28619770,"RXYYKMNCLN3KC","B00012ORSS",305608994,"sharp 950-watt 1-2/5-cubic-foot over-the-range microwaves","Major Appliances",5,1,1,"N","Y","Great microwave, easy to install and a space saver!","Looks great, works great. Took less than an hour to install. Was a little overwhelmed with instructions, but was easier to install than originally thought. Looks great in my kitchen and has opened up so much space in my small kitchen. I would recommend this product to anyone!",2013-04-20
"11","US",50435331,"RG92PDW17TT5K","B005GSZB7I",827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd","Major Appliances",5,3,3,"N","Y","It's a space saver","It's rather small on the outside, and just big enough on the inside.  Everyone who comes over thinks it's a TV.",2013-04-18
