"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date"
"1","US",26742406,"R21TWCQE9G4M13","B00A0ACI4Q",634651320,"wubbanub infant pacifier alligator - limited edition","Baby",4,0,0,"N","Y","fun little toy","my little one is still getting used to the pacifier but loves this toy otherwise.  she snuggles with it at nights",2012-11-30
"2","US",46711940,"R35VD365TH46NP","B005SASC9I",513564343,"philips avent bpa free fashion infant pacifier, 2 pack","Baby",5,0,0,"N","Y","nice","The baby pacifiers are great and of great quality and are cute for my baby. I love the graphics and most of all I love the timing",2012-11-30
"3","US",40910439,"RXWRIX86359JH","B007MS8OI8",664402451,"beardo beermo bottle & pacifier mustaches","Baby",5,0,0,"N","Y","Awesome!","Great quality stuff, it looks great and it's not going to fall apart anytime soon. Woo hoo! It's so fun!",2012-11-30
"4","US",31979442,"R2I6C6AO5F7R3J","B00005C0KD",451617076,"gerber first essentials 2 pack soft center latex pacifier","Baby",1,0,2,"N","Y","Disappointed","Before buying this particular one I asked if it was the bigger one not the newborn and was told yes buy a fellow customer who had purchased these... Sadly it was the smaller one and my son who is almost 13 months wont take it cause its to small. Last time I ever shop on line like this...",2012-11-30
"5","US",36047863,"R1VJRIC943F0CC","B0045I6IA4",246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary","Baby",5,0,0,"N","Y","Love these","When my son was born in 2008, the hospital gave us one of these and he loved it. I just had a baby girl and searched like CRAZY to find these again, and she loves them just as much as he did!",2012-11-30
"6","US",19447779,"RRITIGPBRGOSK","B007F30DKM",572944212,"wubbanub soft toy and pacifier","Baby",5,0,0,"N","Y","Love!","We love that this paci is exactly the brand my son loves, doesn't fall far if it falls out of his mouth, and is easy to find in the night because if the sie and feel.",2012-11-30
"7","US",38636944,"R1M34D16N57VJO","B006G9F8AQ",454116188,"2 pack natursutten bpa free natural rubber pacifier, butterfly shield, orthodontic nipple","Baby",2,1,1,"N","Y","Too big and uncomfortable for my son","Sadly, even though i was keen on my boy using this natural pacifier, he never liked it. It was too big and uncomfortable for him, and he kept spitting it out.  A big minus is that it does not have a cap to protect it when it is not being used.",2012-11-30
"8","US",12233815,"R1T8I5XCCH30ET","B001BXREG8",869138578,"wubbanub (tm) dragon pacifier!","Baby",5,0,0,"N","Y","Super cute and baby loves it!","Super cute and baby loves it. It's so cute when she holds into the dragon. This is actually the second one that we bought; needed a backup (just incase).",2012-11-29
"9","US",40633980,"R33N3T5QBELWF5","B0047PAHUW",106521272,"wubbanub elephant pacifier","Baby",5,0,0,"N","Y","LOVE","What more can I say. This was a super cute pacifier that didn't look like one. My daughter used this for so long! The shape was perfect for her and the elephant gave her something to hold on to and snuggle. Highly recommend despite the cost. It's well worth it.",2012-11-29
"10","US",24148452,"R1CLLFQAC1M9IS","B004RQUYDG",137289931,"kidz-med veratemp 5-in-1 non-contact thermometer #11900 with pacifier medicine dispenser","Baby",5,0,2,"N","Y","All I can say is WOW!","This is a great accurate product.  I was skeptical at first but I am now a believer.  So easy even a cave man can use it!",2012-11-29
