,product_id,star_rating,date,normalized_date
0,B0045I6IAY,4.48936170212766,2015_7_,42
1,B0045I6IAY,4.488235294117646,2015_6_,41
2,B0045I6IAY,4.4753086419753085,2015_5_,40
3,B0045I6IAY,4.458064516129032,2015_4_,39
4,B0045I6IAY,4.489208633093525,2015_3_,38
5,B0045I6IAY,4.512,2015_2_,37
6,B0045I6IAY,4.477876106194692,2015_1_,36
7,B0045I6IAY,4.475728155339807,2014_12_,35
8,B0045I6IAY,4.505376344086022,2014_11_,34
9,B0045I6IAY,4.487804878048781,2014_10_,33
10,B0045I6IAY,4.5,2014_9_,32
11,B0045I6IAY,4.545454545454546,2014_8_,31
12,B0045I6IAY,4.616666666666666,2014_7_,30
13,B0045I6IAY,4.584905660377358,2014_6_,29
14,B0045I6IAY,4.584905660377358,2014_5_,28
15,B0045I6IAY,4.58,2014_4_,27
16,B0045I6IAY,4.613636363636363,2014_3_,26
17,B0045I6IAY,4.604651162790699,2014_2_,25
18,B0045I6IAY,4.6,2014_1_,24
19,B0045I6IAY,4.594594594594595,2013_12_,23
20,B0045I6IAY,4.5625,2013_11_,22
21,B0045I6IAY,4.533333333333333,2013_10_,21
22,B0045I6IAY,4.615384615384615,2013_9_,20
23,B0045I6IAY,4.782608695652174,2013_8_,19
24,B0045I6IAY,4.782608695652174,2013_7_,18
25,B0045I6IAY,4.782608695652174,2013_6_,17
26,B0045I6IAY,4.782608695652174,2013_5_,16
27,B0045I6IAY,4.761904761904762,2013_4_,15
28,B0045I6IAY,4.777777777777779,2013_3_,14
29,B0045I6IAY,4.764705882352942,2013_2_,13
30,B0045I6IAY,4.714285714285714,2013_1_,12
31,B0045I6IAY,4.6923076923076925,2012_12_,11
32,B0045I6IAY,4.909090909090909,2012_11_,10
33,B0045I6IAY,4.9,2012_10_,9
34,B0045I6IAY,4.9,2012_9_,8
35,B0045I6IAY,4.888888888888889,2012_8_,7
36,B0045I6IAY,4.888888888888889,2012_7_,6
37,B0045I6IAY,4.888888888888889,2012_6_,5
38,B0045I6IAY,4.888888888888889,2012_5_,4
39,B0045I6IAY,4.857142857142857,2012_4_,3
40,B0045I6IAY,4.833333333333333,2012_3_,2
41,B0045I6IAY,4.666666666666667,2012_2_,1
42,B0045I6IAY,4.666666666666667,2012_1_,0
43,B0028H3ACS,4.632352941176472,2015_7_,42
44,B0028H3ACS,4.615384615384615,2015_6_,41
45,B0028H3ACS,4.6,2015_5_,40
46,B0028H3ACS,4.6347826086956525,2015_4_,39
47,B0028H3ACS,4.660550458715597,2015_3_,38
48,B0028H3ACS,4.666666666666667,2015_2_,37
49,B0028H3ACS,4.673684210526316,2015_1_,36
50,B0028H3ACS,4.703296703296704,2014_12_,35
51,B0028H3ACS,4.705882352941177,2014_11_,34
52,B0028H3ACS,4.696202531645571,2014_10_,33
53,B0028H3ACS,4.72,2014_9_,32
54,B0028H3ACS,4.7,2014_8_,31
55,B0028H3ACS,4.742424242424242,2014_7_,30
56,B0028H3ACS,4.7384615384615385,2014_6_,29
57,B0028H3ACS,4.7384615384615385,2014_5_,28
58,B0028H3ACS,4.737704918032787,2014_4_,27
59,B0028H3ACS,4.733333333333333,2014_3_,26
60,B0028H3ACS,4.7368421052631575,2014_2_,25
61,B0028H3ACS,4.714285714285714,2014_1_,24
62,B0028H3ACS,4.739130434782608,2013_12_,23
63,B0028H3ACS,4.75,2013_11_,22
64,B0028H3ACS,4.7105263157894735,2013_10_,21
65,B0028H3ACS,4.714285714285714,2013_9_,20
66,B0028H3ACS,4.696969696969697,2013_8_,19
67,B0028H3ACS,4.6875,2013_7_,18
68,B0028H3ACS,4.758620689655173,2013_6_,17
69,B0028H3ACS,4.769230769230768,2013_5_,16
70,B0028H3ACS,4.7,2013_4_,15
71,B0028H3ACS,4.625,2013_3_,14
72,B0028H3ACS,4.538461538461538,2013_2_,13
73,B0028H3ACS,4.75,2013_1_,12
74,B0028H3ACS,4.714285714285714,2012_12_,11
75,B0028H3ACS,4.6,2012_11_,10
76,B0028H3ACS,4.6,2012_10_,9
77,B0028H3ACS,4.6,2012_9_,8
78,B0028H3ACS,4.6,2012_8_,7
79,B0028H3ACS,4.6,2012_7_,6
80,B0028H3ACS,4.6,2012_6_,5
81,B0028H3ACS,4.6,2012_5_,4
82,B0028H3ACS,4.6,2012_4_,3
83,B0028H3ACS,4.5,2012_3_,2
84,B0028H3ACS,4.0,2012_2_,1
85,B0028H3ACS,5.0,2012_1_,0
86,B003CK3LDI,4.6050955414012735,2015_7_,42
87,B003CK3LDI,4.6066666666666665,2015_6_,41
88,B003CK3LDI,4.597222222222221,2015_5_,40
89,B003CK3LDI,4.600478468899521,2015_4_,39
90,B003CK3LDI,4.600496277915632,2015_3_,38
91,B003CK3LDI,4.58575197889182,2015_2_,37
92,B003CK3LDI,4.595505617977529,2015_1_,36
93,B003CK3LDI,4.6097560975609735,2014_12_,35
94,B003CK3LDI,4.598726114649682,2014_11_,34
95,B003CK3LDI,4.598006644518272,2014_10_,33
96,B003CK3LDI,4.6063829787234045,2014_9_,32
97,B003CK3LDI,4.605363984674329,2014_8_,31
98,B003CK3LDI,4.609053497942387,2014_7_,30
99,B003CK3LDI,4.609865470852019,2014_6_,29
100,B003CK3LDI,4.614634146341463,2014_5_,28
101,B003CK3LDI,4.604060913705584,2014_4_,27
102,B003CK3LDI,4.601123595505618,2014_3_,26
103,B003CK3LDI,4.588235294117646,2014_2_,25
104,B003CK3LDI,4.567901234567901,2014_1_,24
105,B003CK3LDI,4.549668874172187,2013_12_,23
106,B003CK3LDI,4.557142857142857,2013_11_,22
107,B003CK3LDI,4.559701492537314,2013_10_,21
108,B003CK3LDI,4.5409836065573765,2013_9_,20
109,B003CK3LDI,4.517857142857143,2013_8_,19
110,B003CK3LDI,4.51063829787234,2013_7_,18
111,B003CK3LDI,4.49438202247191,2013_6_,17
112,B003CK3LDI,4.472222222222221,2013_5_,16
113,B003CK3LDI,4.403225806451613,2013_4_,15
114,B003CK3LDI,4.39344262295082,2013_3_,14
115,B003CK3LDI,4.314814814814815,2013_2_,13
116,B003CK3LDI,4.2444444444444445,2013_1_,12
117,B003CK3LDI,4.128205128205129,2012_12_,11
118,B003CK3LDI,4.0,2012_11_,10
119,B003CK3LDI,3.8620689655172415,2012_10_,9
120,B003CK3LDI,4.037037037037037,2012_9_,8
121,B003CK3LDI,4.0,2012_8_,7
122,B003CK3LDI,3.9444444444444446,2012_7_,6
123,B003CK3LDI,3.7142857142857135,2012_6_,5
124,B003CK3LDI,3.6666666666666665,2012_5_,4
125,B003CK3LDI,3.25,2012_4_,3
126,B003CK3LDI,2.25,2012_3_,2
127,B003CK3LDI,2.333333333333333,2012_2_,1
128,B003CK3LDI,3.0,2012_1_,0
129,B0045I6IA4,4.5971830985915485,2015_7_,42
130,B0045I6IA4,4.603603603603603,2015_6_,41
131,B0045I6IA4,4.602564102564102,2015_5_,40
132,B0045I6IA4,4.6034482758620685,2015_4_,39
133,B0045I6IA4,4.625925925925926,2015_3_,38
134,B0045I6IA4,4.6460905349794235,2015_2_,37
135,B0045I6IA4,4.6454545454545455,2015_1_,36
136,B0045I6IA4,4.629441624365482,2014_12_,35
137,B0045I6IA4,4.638888888888889,2014_11_,34
138,B0045I6IA4,4.6287425149700585,2014_10_,33
139,B0045I6IA4,4.6394557823129245,2014_9_,32
140,B0045I6IA4,4.638461538461539,2014_8_,31
141,B0045I6IA4,4.632478632478633,2014_7_,30
142,B0045I6IA4,4.660377358490567,2014_6_,29
143,B0045I6IA4,4.6938775510204085,2014_5_,28
144,B0045I6IA4,4.6923076923076925,2014_4_,27
145,B0045I6IA4,4.686746987951807,2014_3_,26
146,B0045I6IA4,4.6756756756756745,2014_2_,25
147,B0045I6IA4,4.7846153846153845,2014_1_,24
148,B0045I6IA4,4.819672131147541,2013_12_,23
149,B0045I6IA4,4.821428571428571,2013_11_,22
150,B0045I6IA4,4.816326530612245,2013_10_,21
151,B0045I6IA4,4.794871794871796,2013_9_,20
152,B0045I6IA4,4.787878787878788,2013_8_,19
153,B0045I6IA4,4.75,2013_7_,18
154,B0045I6IA4,4.869565217391305,2013_6_,17
155,B0045I6IA4,4.85,2013_5_,16
156,B0045I6IA4,4.842105263157895,2013_4_,15
157,B0045I6IA4,4.842105263157895,2013_3_,14
158,B0045I6IA4,4.833333333333333,2013_2_,13
159,B0045I6IA4,4.8125,2013_1_,12
160,B0045I6IA4,4.8125,2012_12_,11
161,B0045I6IA4,4.833333333333333,2012_11_,10
162,B0045I6IA4,4.8,2012_10_,9
163,B0045I6IA4,4.777777777777779,2012_9_,8
164,B0045I6IA4,4.777777777777779,2012_8_,7
165,B0045I6IA4,4.777777777777779,2012_7_,6
166,B0045I6IA4,4.75,2012_6_,5
167,B0045I6IA4,4.75,2012_5_,4
168,B0045I6IA4,4.666666666666667,2012_4_,3
169,B0045I6IA4,4.6,2012_3_,2
170,B0045I6IA4,4.6,2012_2_,1
171,B0045I6IA4,4.5,2012_1_,0
172,B00BVUQDYA,4.642857142857143,2015_7_,42
173,B00BVUQDYA,4.666666666666667,2015_6_,41
174,B00BVUQDYA,4.666666666666667,2015_5_,40
175,B00BVUQDYA,4.666666666666667,2015_4_,39
176,B00BVUQDYA,4.875,2015_3_,38
177,B00BVUQDYA,4.875,2015_2_,37
178,B00BVUQDYA,4.857142857142857,2015_1_,36
179,B00BVUQDYA,4.833333333333333,2014_12_,35
180,B00BVUQDYA,4.833333333333333,2014_11_,34
181,B00BVUQDYA,4.8,2014_10_,33
182,B00BVUQDYA,4.8,2014_9_,32
183,B00BVUQDYA,4.8,2014_8_,31
184,B00BVUQDYA,4.75,2014_7_,30
185,B00BVUQDYA,4.75,2014_6_,29
186,B00BVUQDYA,4.75,2014_5_,28
187,B00BVUQDYA,4.75,2014_4_,27
188,B00BVUQDYA,4.666666666666667,2014_3_,26
189,B00BVUQDYA,5.0,2014_2_,25
190,B00BVUQDYA,5.0,2014_1_,24
191,B00BVUQDYA,5.0,2013_12_,23
192,B00BVUQDYA,5.0,2013_11_,22
193,B00BVUQDYA,5.0,2013_10_,21
194,B00BVUQDYA,5.0,2013_9_,20
195,B00BVUQDYA,5.0,2013_8_,19
196,B00BVUQDYA,5.0,2013_7_,18
197,B00BVUQDYA,5.0,2013_6_,17
198,B00KCNII7W,4.0,2015_7_,42
199,B00KCNII7W,5.0,2015_6_,41
200,B00FZGLNWS,3.9090909090909087,2015_7_,42
201,B00FZGLNWS,3.8,2015_6_,41
202,B00FZGLNWS,3.8,2015_5_,40
203,B00FZGLNWS,4.0,2015_4_,39
204,B00FZGLNWS,3.8333333333333335,2015_3_,38
205,B00FZGLNWS,4.2,2015_2_,37
206,B00FZGLNWS,4.2,2015_1_,36
207,B00FZGLNWS,4.25,2014_12_,35
208,B00FZGLNWS,4.25,2014_11_,34
209,B00FZGLNWS,4.25,2014_10_,33
210,B00FZGLNWS,4.25,2014_9_,32
211,B00FZGLNWS,4.0,2014_8_,31
212,B00FZGLNWS,4.0,2014_7_,30
213,B00FZGLNWS,4.0,2014_6_,29
214,B001FGL9X0,4.677130044843049,2015_7_,42
215,B001FGL9X0,4.7135922330097095,2015_6_,41
216,B001FGL9X0,4.704081632653062,2015_5_,40
217,B001FGL9X0,4.703703703703703,2015_4_,39
218,B001FGL9X0,4.685714285714286,2015_3_,38
219,B001FGL9X0,4.6848484848484855,2015_2_,37
220,B001FGL9X0,4.664516129032258,2015_1_,36
221,B001FGL9X0,4.6438356164383565,2014_12_,35
