,product_id,product_type,2012_3_star_rating,2012_3_eval_score,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B000A7B4D0,m,5.0,3.07632722233668,,,,
1,B001QFYDSI,m,1.5,2.3631077106943073,,,,
2,B000UW1WW8,m,1.0,2.643800273652013,,,,
3,B0019C87BC,m,1.0,1.6739966490405156,,,,
4,B000A7B4D0,m,5.0,3.07632722233668,,,,
5,B000W3JHHM,m,3.3333333333333335,2.981110123382877,3.5,2.9624629601586174,5.0,3.236602132109809
6,B001QFYDSI,m,1.5,2.3631077106943073,,,,
7,B000UW1WW8,m,1.0,2.643800273652013,,,,
8,B00413662I,m,4.0,2.812555287869754,4.0,2.812555287869754,,
9,B000W3JHHM,m,3.3333333333333335,2.981110123382877,3.5,2.9624629601586174,5.0,3.236602132109809
10,B001QFYDQK,m,4.0,4.532638254981761,4.0,4.532638254981761,,
11,B000ZIPHM8,m,2.0,2.6857687395593266,2.0,2.6857687395593266,2.0,2.860380764170432
12,B005GSZB9Q,m,4.0,4.485859815986922,4.0,4.485859815986922,,
13,B002Z8041A,m,1.0,2.534464908041527,1.0,2.534464908041527,1.0,2.4188726939725473
14,B001C3789A,m,1.0,1.0,1.0,1.0,1.0,1.0
15,B004YKDYVE,m,4.5,3.684969725793889,4.5,3.684969725793889,4.5,3.684969725793889
16,B000ZIPHM8,m,2.0,2.6857687395593266,2.0,2.6857687395593266,2.0,2.860380764170432
17,B000W3JHHM,m,3.3333333333333335,2.981110123382877,3.5,2.9624629601586174,5.0,3.236602132109809
18,B004YKDYVE,m,4.5,3.684969725793889,4.5,3.684969725793889,4.5,3.684969725793889
19,B002Z8041A,m,1.0,2.534464908041527,1.0,2.534464908041527,1.0,2.4188726939725473
20,B003XSST4A,m,5.0,5.0,5.0,5.0,5.0,5.0
