,product_id,product_type,2012_6_star_rating,2012_6_eval_score,2012_5_star_rating,2012_5_eval_score,2012_4_star_rating,2012_4_eval_score,2012_3_star_rating,2012_3_eval_score,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B000W3PH1W,m,5.0,2.6095225751799935,5.0,2.6095225751799935,,,,,,,,
1,B002Z8041A,m,1.0,2.2110823402148934,1.0,2.2427066039764534,1.0,2.2245482437928192,1.0,2.534464908041527,1.0,2.534464908041527,1.0,2.4188726939725473
2,B00413662I,m,4.75,2.727572183340037,4.666666666666667,3.11689224951023,4.5,2.8750926701668376,4.0,2.812555287869754,4.0,2.812555287869754,,
3,B00009V3WT,m,5.0,2.6140640838546734,,,,,,,,,,
4,B002KPM7L8,m,1.0,1.4053741372822381,,,,,,,,,,
5,B005GSZB9Q,m,4.666666666666667,3.332628682447731,4.5,3.673914908006467,4.0,3.781818921634944,4.0,4.485859815986922,4.0,4.485859815986922,,
6,B0049OXU1O,m,2.0,2.1350293368977553,1.0,2.182251620860966,,,,,,,,
7,B0055UBB4O,m,1.0,2.659530273622163,,,,,,,,,,
8,B007V7G5TU,m,1.0,2.655439462559199,,,,,,,,,,
9,B004ZUWBVW,m,1.0,2.596930297688176,,,,,,,,,,
10,B003XSST4A,m,3.75,3.224539802685839,4.666666666666667,3.4309273798969246,4.666666666666667,3.4309273798969246,5.0,5.0,5.0,5.0,5.0,5.0
11,B005GSZB7I,m,4.5,3.050507088983157,4.0,3.5261384031728937,,,,,,,,
12,B004YKDYVE,m,4.6,3.1393470905284864,4.75,3.3009310123834936,4.666666666666667,3.141683566564201,4.5,3.684969725793889,4.5,3.684969725793889,4.5,3.684969725793889
13,B001QFYDSI,m,2.6666666666666665,2.255046312309597,1.5,2.0878001474543924,1.5,2.0878001474543924,1.5,2.3631077106943073,,,,
14,B00009V3X6,m,4.0,2.5355992735826076,,,,,,,,,,
15,B0058CLNBU,m,2.0,2.437790669898419,2.0,2.437790669898419,3.0,2.970119191534139,,,,,,
