,product_id,product_type,2015_7_star_rating,2015_7_eval_score,2015_6_star_rating,2015_6_eval_score,2015_5_star_rating,2015_5_eval_score,2015_4_star_rating,2015_4_eval_score,2015_3_star_rating,2015_3_eval_score,2015_2_star_rating,2015_2_eval_score,2015_1_star_rating,2015_1_eval_score,2014_12_star_rating,2014_12_eval_score,2014_11_star_rating,2014_11_eval_score,2014_10_star_rating,2014_10_eval_score,2014_9_star_rating,2014_9_eval_score,2014_8_star_rating,2014_8_eval_score,2014_7_star_rating,2014_7_eval_score,2014_6_star_rating,2014_6_eval_score,2014_5_star_rating,2014_5_eval_score,2014_4_star_rating,2014_4_eval_score,2014_3_star_rating,2014_3_eval_score,2014_2_star_rating,2014_2_eval_score,2014_1_star_rating,2014_1_eval_score,2013_12_star_rating,2013_12_eval_score,2013_11_star_rating,2013_11_eval_score,2013_10_star_rating,2013_10_eval_score,2013_9_star_rating,2013_9_eval_score,2013_8_star_rating,2013_8_eval_score,2013_7_star_rating,2013_7_eval_score,2013_6_star_rating,2013_6_eval_score,2013_5_star_rating,2013_5_eval_score,2013_4_star_rating,2013_4_eval_score,2013_3_star_rating,2013_3_eval_score,2013_2_star_rating,2013_2_eval_score,2013_1_star_rating,2013_1_eval_score,2012_12_star_rating,2012_12_eval_score,2012_11_star_rating,2012_11_eval_score,2012_10_star_rating,2012_10_eval_score,2012_9_star_rating,2012_9_eval_score,2012_8_star_rating,2012_8_eval_score,2012_7_star_rating,2012_7_eval_score,2012_6_star_rating,2012_6_eval_score,2012_5_star_rating,2012_5_eval_score,2012_4_star_rating,2012_4_eval_score,2012_3_star_rating,2012_3_eval_score,2012_2_star_rating,2012_2_eval_score,2012_1_star_rating,2012_1_eval_score
0,B0045I6IAY,p,4.48936170212766,2.9043008340544434,4.488235294117647,2.9110262514734737,4.4753086419753085,2.9107173110252997,4.458064516129032,2.910665482257031,4.489208633093525,2.909110564956526,4.512,2.9237305567072305,4.477876106194691,2.92178866595665,4.475728155339806,2.9243950887111074,4.505376344086022,2.935426092848339,4.487804878048781,2.954311168190387,4.5,2.943953509004256,4.545454545454546,2.9694962342716638,4.616666666666666,3.0064049691244272,4.584905660377358,3.0333850345221482,4.584905660377358,3.0333850345221482,4.58,3.0137303164016536,4.613636363636363,3.0087726973333773,4.604651162790698,3.0061223634142706,4.6,3.001118381841031,4.594594594594595,2.99034298543953,4.5625,2.971793451042048,4.533333333333333,2.9817904754231463,4.615384615384615,2.9896327957326507,4.782608695652174,3.016010596615628,4.782608695652174,3.0818851869449007,4.782608695652174,3.102636636259006,4.782608695652174,3.102636636259006,4.761904761904762,3.096657340384916,4.777777777777778,3.1162741568125023,4.764705882352941,3.1674632800104563,4.714285714285714,3.161574425717099,4.6923076923076925,3.1613376632059427,4.909090909090909,3.188174046646123,4.9,3.2802442144826536,4.9,3.2802442144826536,4.888888888888889,3.2249355490427907,4.888888888888889,3.2249355490427907,4.888888888888889,3.0305852246199834,4.888888888888889,3.0305852246199834,4.857142857142857,3.1304851133511256,4.833333333333333,3.2011421902064425,4.666666666666667,3.303176302704358,4.666666666666667,3.303176302704358
1,B0028H3ACS,p,4.632352941176471,3.060121806853562,4.615384615384615,3.0610548449179147,4.6,3.0557578917028243,4.6347826086956525,3.0793544304760676,4.660550458715596,3.0811906735882926,4.666666666666667,3.0706514506277225,4.673684210526316,3.048508397476738,4.7032967032967035,3.0568582709544887,4.705882352941177,3.058909875735193,4.69620253164557,3.065690365846765,4.72,3.0846528927949324,4.7,3.112699602191393,4.742424242424242,3.1485243031290073,4.7384615384615385,3.16377300571658,4.7384615384615385,3.16377300571658,4.737704918032787,3.16766632553059,4.733333333333333,3.168578901238259,4.7368421052631575,3.1733469688232927,4.714285714285714,3.161939123302775,4.739130434782608,3.163203113448605,4.75,3.193488081826183,4.7105263157894735,3.175571924341781,4.714285714285714,3.177362540189627,4.696969696969697,3.19431843947123,4.6875,3.2656633633476426,4.758620689655173,3.292559048547075,4.769230769230769,3.293386300294055,4.7,3.2842291257770104,4.625,3.2987117600385822,4.538461538461538,3.358295948173301,4.75,3.477601434750907,4.714285714285714,3.5691932831981688,4.6,3.5377651815345015,4.6,3.6123270508436294,4.6,3.6123270508436294,4.6,3.6123270508436294,4.6,3.6123270508436294,4.6,3.4603918984519173,4.6,3.4603918984519173,4.6,3.4603918984519173,4.5,3.274283521521091,4.0,3.2994135873099766,5.0,4.030990765422825
2,B003CK3LDI,p,4.6050955414012735,3.0039028904551994,4.6066666666666665,3.002832939469929,4.597222222222222,3.011031241358881,4.600478468899522,3.015119832694688,4.600496277915632,3.0178041093244565,4.58575197889182,3.026418724055529,4.595505617977528,3.0133857397907904,4.609756097560975,3.0274935096750486,4.598726114649682,3.03059849108703,4.598006644518272,3.039196638565074,4.6063829787234045,3.0569192373545864,4.605363984674329,3.0706352851366416,4.609053497942387,3.0828584151138516,4.609865470852018,3.1099358754337354,4.614634146341463,3.1094466197341823,4.604060913705584,3.105012093394549,4.601123595505618,3.1112576610545206,4.588235294117647,3.1176738321000794,4.567901234567901,3.113736617143204,4.549668874172186,3.1094142753342036,4.557142857142857,3.1131103760609156,4.559701492537314,3.110235796346976,4.540983606557377,3.1010061860000677,4.517857142857143,3.099540386295414,4.51063829787234,3.182752039547915,4.49438202247191,3.202346227252825,4.472222222222222,3.1965141043306193,4.403225806451613,3.195923758811073,4.39344262295082,3.188022613905229,4.314814814814815,3.1979559049687873,4.2444444444444445,3.171270252267496,4.128205128205129,3.1390296982627315,4.0,3.1462726499391347,3.8620689655172415,3.1696200401853134,4.037037037037037,3.203991299075616,4.0,3.1768741245674774,3.9444444444444446,3.209202200180004,3.7142857142857144,2.8888741587719284,3.6666666666666665,2.86944446041001,3.25,2.800482264515182,2.25,2.6276238106400487,2.3333333333333335,2.7170678512494755,3.0,2.7259213709997097
3,B0045I6IA4,p,4.597183098591549,2.858456454816709,4.603603603603603,2.866488056786942,4.602564102564102,2.8669044991107806,4.603448275862069,2.871475653304452,4.625925925925926,2.8822760474323212,4.6460905349794235,2.899822135447538,4.6454545454545455,2.8846177539675226,4.629441624365482,2.8946790074202213,4.638888888888889,2.9083474121151713,4.62874251497006,2.9192453549759287,4.639455782312925,2.932653562006718,4.638461538461539,2.941976356885651,4.632478632478633,2.9482796749785303,4.660377358490566,2.9648608682282385,4.6938775510204085,2.9775208115052854,4.6923076923076925,2.9822211476471763,4.686746987951807,2.981374083946428,4.675675675675675,2.9815422829972276,4.7846153846153845,3.020018736791791,4.819672131147541,3.0493104928898886,4.821428571428571,3.051952332874671,4.816326530612245,3.070766147434414,4.794871794871795,3.0773384647891486,4.787878787878788,3.0966606325701935,4.75,3.155737015505437,4.869565217391305,3.1914568666706535,4.85,3.2139021450207133,4.842105263157895,3.1915122265267373,4.842105263157895,3.1915122265267373,4.833333333333333,3.233816556634779,4.8125,3.208757079267999,4.8125,3.208757079267999,4.833333333333333,3.101106135579829,4.8,3.0849521530030994,4.777777777777778,3.1270636260074296,4.777777777777778,3.1270636260074296,4.777777777777778,3.1270636260074296,4.75,2.9947650987805625,4.75,2.9947650987805625,4.666666666666667,3.0712817006149913,4.6,3.0340383217876035,4.6,3.0340383217876035,4.5,2.9371201643506764
4,B00BVUQDYA,p,4.642857142857143,3.0588576659689286,4.666666666666667,3.105146524716624,4.666666666666667,3.105146524716624,4.666666666666667,3.105146524716624,4.875,3.1810208551634362,4.875,3.1810208551634362,4.857142857142857,3.2299435492602875,4.833333333333333,3.2517379133082147,4.833333333333333,3.2517379133082147,4.8,3.2995284011530255,4.8,3.2995284011530255,4.8,3.2995284011530255,4.75,3.2446276539979593,4.75,3.2446276539979593,4.75,3.2446276539979593,4.75,3.2446276539979593,4.666666666666667,3.272990909261034,5.0,3.267232024049795,5.0,3.26908437830621,5.0,3.26908437830621,5.0,3.26908437830621,5.0,3.26908437830621,5.0,3.26908437830621,5.0,3.26908437830621,5.0,3.3432283357310393,5.0,3.366584755357452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B00KCNII7W,p,4.0,3.020631621375995,5.0,2.6589637961956636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B00FZGLNWS,p,3.909090909090909,2.8338646343019596,3.8,2.8601790938050495,3.8,2.8601790938050495,4.0,2.9023295016006623,3.8333333333333335,2.9469478066989883,4.2,3.037850979842736,4.2,3.015471987267444,4.25,3.13137479880383,4.25,3.13137479880383,4.25,3.13137479880383,4.25,3.13137479880383,4.0,3.513952130083821,4.0,3.513952130083821,4.0,3.6364397428253676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B001FGL9X0,p,4.677130044843049,3.0515270507915604,4.713592233009709,3.0477349514171928,4.704081632653061,3.055084211830877,4.703703703703703,3.0555567101919134,4.685714285714286,3.053510072640729,4.684848484848485,3.0688589314435775,4.664516129032258,3.0564246564630344,4.6438356164383565,3.062105892418459,4.686567164179104,3.096890220333524,4.661290322580645,3.0978104363604237,4.666666666666667,3.13019669309922,4.663636363636364,3.130243663358467,4.637254901960785,3.138709708139717,4.621052631578947,3.138967713834347,4.608695652173913,3.141125208647206,4.6,3.146637225923861,4.595238095238095,3.1500590871530965,4.617283950617284,3.1534510899135793,4.620253164556962,3.1456433707631577,4.6,3.131581176273898,4.632352941176471,3.1449196885881183,4.60655737704918,3.1285159455913236,4.547169811320755,3.1202578432095467,4.5625,3.1127302407937654,4.634146341463414,3.2022178000635066,4.777777777777778,3.273036607791376,4.75,3.29126212100093,4.703703703703703,3.3281593543336245,4.666666666666667,3.3290530912000036,4.5625,3.4194433675761733,4.538461538461538,3.4386253252586942,4.454545454545454,3.4750261186301596,4.4,3.483694652989467,4.4,3.5566678805628715,4.333333333333333,3.5422359984514062,4.25,3.548288965413146,4.0,3.475407132867782,4.0,3.3084807329953376,4.0,3.215162126083037,3.75,3.187413268276029,3.75,3.187413268276029,3.0,2.991890340757685,3.0,2.991890340757685
9,B00BTWEUOK,p,4.5625,3.035132921547722,4.536585365853658,3.030701678210614,4.472222222222222,2.996503030325775,4.457142857142857,3.0086731505602056,4.53125,3.045204375146065,4.607142857142857,3.010642352682906,4.708333333333333,3.015864964057669,4.681818181818182,3.0677609420283254,4.684210526315789,3.030604805499089,4.785714285714286,3.00121389631497,4.75,3.0040648732266524,4.8,2.9567166991549234,4.75,3.095552825886234,4.833333333333333,3.148963379359172,4.75,3.105545018214652,4.75,3.105545018214652,4.666666666666667,3.0643326062263787,5.0,3.3915832427250105,5.0,3.3915832427250105,5.0,3.3915832427250105,5.0,3.3915832427250105,5.0,3.3915832427250105,5.0,3.595628226257831,5.0,3.595628226257831,5.0,3.6804422378205053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B00PF841HA,p,4.571428571428571,2.8839069779808693,4.5,2.9266756822133186,4.833333333333333,2.9648186425302288,4.8,2.8862880773977198,4.75,2.8813752744632635,5.0,2.5690919803665313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
