"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date"
"1","US",49354203,"R1SIHWRKFP6LE4","B001BOFIRO",26711891,"andis tourmaline ionic/ceramic 1875 watt hair dryer","Beauty",4,0,0,"N","Y","best hair dryer","I love the hair dryer. Dries hair fast only thing I do not like is that the cord gets twisted and I have to fix it before I use it everyday.",2013-10-31
"2","US",23753510,"RQSCYI6QA97KD","B00BB8ZIW0",253917972,"remington silk ceramic professional hair dryer","Beauty",5,0,1,"Y","N","It dries my thick hair in half the time!","This sleek hair dryer really packs a punch. It dries my thick hair SO much faster than my other hair dryer. The different speed and heat settings are so nice (2 speeds, 3 heat settings). It comes with two attachments, and I especially like the concentrator attachment to help dry strands of hair nicely without blowing the rest of my hair around like crazy. So far this hair dryer has proven to be a quality product - I really like it!",2013-10-31
"3","US",40172078,"R319OCZ2AGNW62","B003V264WW",732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple","Beauty",5,0,0,"N","Y","Works Great On Fine Straight Hair","This hair dryer dries my fine straight hair very quickly and is rather quiet for a hair dryer. It's a little on the heavy side, so if you have hair that takes a long time to dry, you might want to get a lighter dryer so your arm doesn't get tired.",2013-10-31
"4","US",35472941,"R3DZDI35DR8S3G","B003V264WW",732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple","Beauty",5,0,0,"N","Y","Perfect","it is better than what i expect and gives me more than i want. this hair dryer has three shifts which are perfect for me. it also can swithch to the cold model. loves it. highly recommend",2013-10-30
"5","US",49670317,"R10RIQAQ5MS3RR","B003FBG88E",195677102,"conair pro styler ionic conditioning hair dryer","Beauty",5,2,3,"N","Y","It drys your hair","Plugged it in, dried my hair.<br />Brilliant!<br /><br />Cord is a little short, if your socket is waaaay far away from where you normally sit or stand, but the dryer itself is good for what it does, not so hot that you feel like you are burning yourself, but effective in drying my thicker hair.<br /><br />I like it!",2013-10-30
"6","US",30538295,"RGNK6UNPU7UC2","B000XE6C3M",772841097,"ovente seductive ceramic ionic tourmaline lightweight professional hair dryer, red (3600)","Beauty",4,2,3,"N","Y","LOVE THIS PRODUCT!!!","THIS IS THE BEST DRYER I HAVE EVER OWNED!!!<br />The only reason it got 4 stars instead of 5 is because it showed 2800 watts when I ordered it, yet when I received it, there were 2200 watts.  Still ok.....yet a little misleading!!!<br />EXCELLENT PRODUCT!!!  Can't go wrong!!!!",2013-10-30
"7","US",17138974,"RRZIQFISUGJ4L","B008OEZ0N6",153523919,"pro beauty tools pbdr5886 professional travel hair dryer, white and black","Beauty",5,1,1,"N","Y","The perfect hair dryer?","How great can a hair dryer be?  Aren't they all the same?  Well, as is true with many things, all hair dryers are not created equal, and this was a GREAT find.  It seems a simple thing -- just turn it on and dry the hair -- but I've been frustrated many times with hair dryers that are too strong, blowing like a hurricane no matter what the setting, too weak, barely putting out a cough of air, or too cold, or too hot, or that just fry themselves after a few months of use.  And, specifically, I wanted a travel hair dryer, since my last supposed &#34;dual voltage&#34; hair dryer went up in smoke (literally!) when trying to use it on the other voltage setting.  So, this hair dryer has been a welcome treat.  Not only does it do as it claims, in being dual voltage, but you still got low and high settings, and the great &#34;cool shot&#34; at either voltage setting.  Air flow and heat are consistent and the low and high settings are really just that -- less heat and air, or more heat and air -- and are noticeable in difference.  Comes with two attachments, as shown, handle folds, plus the back opens up for cleaning!  I have never found such a great hair dryer at even far higher prices, let alone at the great price for this one!  If you're looking for a great hair dryer that also can travel the world with you, this one is the one!",2013-10-30
"8","US",12041751,"R2BIV6F589CAMG","B0009XH6TG",47684938,"andis 1875-watt fold-n-go ionic hair dryer , silver/black (80020)","Beauty",5,1,1,"N","Y","Great Hairdryer!!","This is my favorite hairdryer ever.  It's amazing how powerful it is for such a small dryer.  Luckily, I stumbled upon this at a hotel I was staying at and couldnt believe how much I liked it.  As soon as I got home, I got online and ordered it.  I have had MANY dryers before this, but this is the best and the best price.  Highly recommend!",2013-10-29
"9","US",39950463,"R26OLXOBXOLXQ7","B0050PNHBY",902572429,"rusk ctc7500 ceramic titanium ionic hair dryer, 2000 watt","Beauty",5,4,5,"N","Y","Better than I had expected!","I highly recommend this dryer if you have thick or coarse hair that needs to be smoothed or straightened. If you are the type of person who just flips the hair around and smooths with fingers, this might be too much dryer for you, but I have no experience with that kind of hair. This is my first professional hair dryer, and I couldn't be happier. I have medium coarse hair (mixed race, ringlets, coarse but not kinky. 3b maybe?) that is currently just below chin length. I'm super-skeptical about product claims, so I did a lot of research. I read an article about a comparison of several models that convinced me of the effectiveness of titanium, and I knew I wanted 2000 watts just cause I wanted as much power as possible. There aren't too many dryers with those 2 features, so after reading the positive reviews, I decided on this model. From the first time I used it, I was very pleased. My hair was definitely softer and smoother. I never believed a hairdryer could make your hair softer, but this one definitely did. I can also dry my hair much more quickly, but I think that is because with this hair dryer, I am actually able to dry my hair like the hairdresser does (in big sections, using the curve of my head to smooth it out.) Previously, I always had to dry my hair in 1-2inch sections wrapping around and pulling with a round brush, which takes FOREVER. If I dry my hair that way with this dryer, it still takes about as long, but I don't really get much better results so I don't bother. CONS: 1. I still have to use a flat iron to smooth my ends. For the life of me, I can't get smooth ends with a hair dryer. I was really hoping this dryer would solve that for me, but instead it has convinced me that it is my technique, not the dryer. 2. It really does get HOT. I have to use medium heat around the edges of my hairline, and that can still be a little intense. If you have a sensitive scalp, this might be too much dryer for you. 3. The nozzles seem kinda cheap. My last hair dryer had  nozzles that snapped on, which made it easier to rotate and change the angle. These nozzles just fit snugly over the barrel and often come off when I try to rotate them. I can't speak to some of the other complaints about this dryer like weight and noise. I wouldn't call this dryer light or quiet, but it doesn't seem particularly loud or heavy to me. Personally, I wouldn't want to give up the performance of this dryer for those features.<br /><br />Hope this review helps, and happy styling everyone!",2013-10-29
"10","US",17835705,"R1NSHNNE6E63KP","B0043W2C48",630355634,"br beauty meredith 880w salon hair dryer with casters","Beauty",4,4,4,"N","Y","Excellent dryer","I needed a dryer to process permanent color faster (spritz inside of processing cap with water, cover hair completely with cap, set heat to med with low airflow for 20 mins, water turns to steam, reds are WAY more vivid, gray is completely covered, hair turns out glossy and moisturized) and to dry wavy extensions with low heat. My salon is attached to my home and I have a small clientele so I didn't want to spend a lot of money. This dryer is powerful enough without blowing a breaker and has lots of temp settings with a high/low airflow setting. This dryer does blow, obviously, so if you don't want to wear a net while drying a roller set, use an infrared orbiting processor that works without a fan.",2013-10-29
