"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date"
"1","US",32527178,"R2A5TQ5HTT4PJR","B004JCW3RS",246038397,"philips avent soothie pacifier, up to 3 months, 0 - 3 months (was 0 to 6 months)","Baby",5,0,1,"N","Y","The only paci our daughter will take!","After a month of life and being given only the breast or a pinky from her mom or dad....this is the ONLY binky our daughter will take. I love that it's all one piece and easily washable/sanitizable.",2013-02-28
"2","US",23711493,"R20VN6BO8JPE1O","B0047PAHUW",106521272,"wubbanub elephant pacifier","Baby",5,0,0,"N","Y","baby seems to love it","Does what I need it to do... Works great! I wish I whould have got one five children ago. So cute",2013-02-28
"3","US",42187734,"RP5QV1LRZ0O5","B0017I79X0",148951957,"gerber natural flex silicone pacifier 2/ pk - pink and green","Baby",5,0,1,"N","Y","A twin favorite","I have 9 month old twins and these are the ONLY nuks that one of them will take. I only wish they came in all pink or more girly colors.",2013-02-27
"4","US",32109625,"R1ALUENCSPX54Z","B001BXREG8",869138578,"wubbanub (tm) dragon pacifier!","Baby",5,0,0,"N","Y","Awesome!","Amazing, my son holds onto this thing better than any other pacifier, he loves it, and it has actually helped his motor skills develop!!!!",2013-02-27
"5","US",28373464,"R37APCYUM719SJ","B00AJF7R3E",816941808,"wubbanub pacifier, levi lion","Baby",5,0,0,"N","Y","So cute","This is by far the cutest wubbanub my son has. We have used these since he's been home from the hospital and he loves them. They seem to be very strong to his teething and biting and super easy to just throw in the wash with clothes on hot water.",2013-02-27
"6","US",28197601,"R34QTDTPVJVD2K","B007MS8PBO",664402451,"beardo beermo bottle & pacifier mustaches","Baby",4,0,0,"N","Y","Funny mustaches.","These went over great at the party we went to.  The guys really liked using them on their beer bottles!",2013-02-27
"7","US",18206202,"R3TRWL6CCF1JZF","B00AJF7QIK",572944212,"wubbanub soft toy and pacifier","Baby",5,0,0,"N","Y","Love it!!!","My daughter loves it, we got this one as a second one because she loved the first one so much (ella bella).  Also bought as shower gifts for all my friends",2013-02-27
"8","US",12203639,"R3DWYYSP0AKUYM","B001F43JTO",997127233,"wubbanub yellow duck pacifier","Baby",2,0,0,"N","Y","It fell apart","A few days after I received the duck paci in the mail, the black stitching for the ducks eyes began falling out. Sort,y afterward a yellow thread started coming out.  It looks awful.",2013-02-26
"9","US",33701722,"RFS380AFX6II7","B00AHO43BG",667171015,"fctry - baby pacifiers","Baby",5,1,1,"N","Y","Baby looks just like Grampa!","Really cute.  Baby loves it, great for pictures and you'll get lots of comments when your baby is &#34;plugged in&#34;!",2013-02-26
"10","US",43032026,"R2U4W7B50UEI1S","B0045I6IAO",246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary","Baby",5,0,0,"N","Y","Great for breastfed babies","I bought this for my son and am exclusively breastfeeding.  I wanted a paci for the times when he just wanted to suck.  He loves this paci and it hasn't caused nipple confusion for us at all.  I'd recommend this for sure to any mom or dad:)  And also the wubbanub...:)",2013-02-26
"11","US",38283169,"R2OOE3NPK9LUBW","B00200LOSA",938291364,"playtex binky silicone newborn pacifier - 2 pack (colors vary) (discontinued by manufacturer)","Baby",4,0,1,"N","Y","good if soft","this price is valve,i buy it many for my baby.he like it very much,also ues all Playtex.it is better if soft for baby.great value!!!!!!",2013-02-26
"12","US",38976830,"R2FA6Q7MA7CD7F","B0045I6IA4",246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary","Baby",5,0,0,"N","Y","best passy for newborns","This is the only passy my 6 wk old will take.  I think it resembles a real nipple the most and promotes her to suck in the same way she would latch on.",2013-02-26
"13","US",10014231,"RGN8UR62DTOTD","B008BK7P4A",387353699,"billy bob pacifier","Baby",4,2,2,"N","Y","funny","the pacifier looks great.  it seems to be good quality.  but the pacifier part itself is small, it seems like the &#34;newborn&#34; sized ones from the store, which my kid doesn't really like.",2013-02-26
"14","US",38021924,"R2LERC57J3AQQZ","B0057EEC3A",218530709,"philips avent translucent orthodontic infant pacifier, 0-6 months","Baby",5,0,0,"N","Y","good product","Seemed to be a good product - bought as a gift for an Angel Tree in our church.  Product seemed to be exactly as promised.",2013-02-26
"15","US",10032580,"RMEPXKGICM0QQ","B009YY4PBI",502209492,"pacifier - wubbanub infant plush pacifier - turtle","Baby",5,0,0,"N","Y","Awesome","Our little girl loves her turtle. We named him Bruno and he works just as advertised, she has even started holding on to the turtle as she uses the pacifier, but when she's not holding him he stays right there and doesn't fall out. Great idea for a product and excellent follow-through to make it a great product.",2013-02-26
"16","US",27747588,"R3C0XJKFDGKYCA","B001E50KJQ",110124739,"wubbanub infant pacifier ~ red dog & green frog","Baby",1,3,3,"N","N","Quality","I have one wubbanub from my sons birth ad these are no where near the same quality! He doesn't like them like he does the hospital one. No as heavy as the hospital ones!",2013-02-26
"17","US",35963396,"R3C4O4VJVIK3KE","B000S8O9ME",372364156,"changing lifestyles safe-er-grip 17 bath & shower handle…","baby",4,0,0,"n","y","grab rails","they work, but need to be checked often becuase they can loose suction.  it may however just be my shower walls",2013-02-25
"18","us",27464762,"rjm5dmwp3p7g0","b004k6lmw0",901613654,"green sprouts toddler water bottle cap adapter, clear","baby",2,0,0,"n","y","doesn't fit everything","i have tried this on several different brands of bottled water and the only one i have found it fits on is pellegrino.  the spout also doesn't really keep water from gushing out of the top of the water.  i will just keep on using a sippy cup.",2013-02-25
"19","us",16035730,"r93carreelv5o","b006pb2h4a",618682818,"evenflo exersaucer jump and learn jumper","baby",4,0,0,"n","y","missing toys","the picture shows toys all around the table... it's a great jumparoo but missing some toys that were supposed to be with it.",2013-02-25
"20","us",40748285,"r1c1cxxqig004b","b00295mqlu",998397375,"simple wishes hands free breastpump bra","baby",5,0,0,"n","n","a must have","i can't believe i thought i didn't need this...  it works great and was really easy to figure out.  it's highly adjustable to fit many different sizes, so it'll still fit as the baby weight goes away. i didn't try any other pumping bras so i don't have anything to compare it to, but i don't feel like i need to.  this product should be included with every double breast pump and has earned its spot as my go-to baby shower gift!",2013-02-25
"21","us",13325628,"r1w2s54qgmtg6s","b008c0r684",503154701,"graco snugride classic connect 30/35 base - silver","baby",5,0,0,"n","y","looked all over","i looked all over for a base that had the level on it.  thank goodness we found them on here! :) we bought 2 extras - one for ganny's car and one for daddy's car!",2013-02-25
"22","us",26450937,"r23iz0fhsld0eb","b009wsplo6",982258119,"booginhead squeez'ems reusable food pouches","baby",1,1,1,"n","n","impossible to clean","i bought these at walmart (2 for $7) and loved them at first but just took them out of the cupboard and there is mold growing b/w the plastic pouch and lid. it looks as if it should be sealed there and there is no way to clean it out and so sadly, i will have to throw them out. don't waste your money!",2013-02-25
"23","us",30497139,"r1o1cpoh0os5hq","b000tw2wy6",152019452,"summer infant swaddleme cotton knit","baby",5,0,0,"n","y","love summer infant swaddles","i highly recommend summer infant swaddles. they are the best. i've tried other brands and they just fall off, or don't fit right etc. i've never had any issues with these. also, my daughter preferred to have her hands out when she turned about a month old, and these still work great either way you use them.",2013-02-25
"24","us",47068692,"r4lvjablckkt2","b005wppt54",389658184,"jj cole satchel diaper bag","baby",5,0,0,"n","y","jj cole bag","i recently bought this bag through amazon, at a great price!  i had been eying it for months and finally gave in, after my last 2 diaper bags had zipper malfunctions.  i was not disappointed!  the color (grey/white) and design are lovely.  the inside is lined with a lime green.  the pockets on the side of the bag are large enough for bottles/sippy cups and the pockets in front/back (though they don't zipper), have been useful to store my wallet/phone/keys.<br /><br />the bag also comes with a messenger strap and 2 stroller attachments/hooks.  my husband (although he thinks it's still girly) also thought it was really nice.<br /><br />i would recommend this bag to anyone.",2013-02-25
"25","us",48206032,"r1svgxac7jtski","b004071zlc",923744244,"baby aspen big dreamzzz layette gift set","baby",4,0,0,"n","y","great gift","the. only reason i gave it i bought this for my new granddaughter. her father is a chef and he loved it.",2013-02-25
"26","us",23242286,"rfj47rtz3linx","b00004tflb",845894094,"munchkin mozart magic cube","baby",5,0,0,"n","y","we love it!","this our second one.  it is easy to use.  as child gets older he will be able to identify which instruments are playing.  his favorite is the harp.the toy is easy for the baby to handle.",2013-02-25
"27","us",50800352,"r2b8v2kze2qcsc","b0025y6742",109968006,"thermos foogo vacuum insulated stainless steel 10-ounce food jar","baby",2,0,0,"n","y","pretty to the look, pretty useless to keep food hot","my daughter won´t eat the food that is suppose to be hot like soup or stews unless is hot, so half of the days she comes back with the thermos full. very disappointed.",2013-02-25
"28","us",45764455,"ru3rj3mqkg80z","b0027z5l5a",715714652,"prorap classic diaper covers - white - extra large","baby",5,1,1,"n","y","love prowraps!","they work well and keep things dry. i like that the velcro goes straight across and is firm holding. the gussets are deep and can accommodate cloth and disposable diapers. i use them for a pee holding special needs child and they seem to keep the flooding contained well.",2013-02-25
